category	name	code	dualo_code	source
5 notes	Raga Chandrakauns Modern (India),Marga Hindola	0,3,5,9,11	0,3,17,21,11	Harmonics.com
5 notes	Raga Chitthakarshini (India)	0,1,3,5,8	0,13,3,17,20	Harmonics.com
8 notes	Raga Cintamani (India)	0,2,3,6,7,8,9,10	0,14,3,6,7,20,21,10,0,14,3,18,7,20,21,10	Harmonics.com
5 notes	Raga Desh	0,2,5,7,11	0,14,17,7,11	Harmonics.com
5 notes	Raga Deshgaur (India)	0,1,7,8,11	0,13,7,20,11	Harmonics.com
5 notes	Raga Devaranjani (India)	0,5,7,8,11	0,17,7,20,11	Harmonics.com
6 notes	Raga Dhavalangam (India)	0,1,4,6,7,8	0,13,4,18,7,20,0,13,4,6,7,20	Harmonics.com
5 notes	Raga Dhavalashri (India)	0,4,6,7,9	0,4,18,7,21,0,4,6,7,21	Harmonics.com
6 notes	Raga Dipak (India)	0,2,4,5,6,7	0,14,4,17,18,7,0,14,4,17,6,7	Harmonics.com
6 notes	Raga Gandharavam	0,1,3,5,7,10	0,13,3,17,7,10	Harmonics.com
6 notes	Raga Gaula (India)	0,1,4,5,7,11	0,13,4,17,7,11	Harmonics.com
5 notes	Raga Gauri (India)	0,1,5,7,11	0,13,17,7,11	Harmonics.com
6 notes	Raga Ghantana (India)	0,2,3,5,8,11	0,14,3,17,20,11	Harmonics.com
6 notes	Raga Gujari Todi (India)	0,1,3,6,8,11	0,13,3,6,20,11,0,13,3,18,20,11	Harmonics.com
6 notes	Raga Hamsa Vinodini (India)	0,2,4,5,9,11	0,14,4,17,21,11	Harmonics.com
