code	name	en
0 1 2 5 7 10 11	Mela Tanarupi (Inde)	Mela Tanarupi (India)
0 1 2 5 7 9 10	Mela Vanaspati (Inde)	Mela Vanaspati (India)
0 2 3 5 7 10 11	Mela Varunapriya (Inde)	Mela Varunapriya (India)
0 1 4 6 7 10 11	Mela Visvambhari (Inde)	Mela Visvambhari (India)
0 3 4 5 7 8 9	Mela Yagapriya (Inde)	Mela Yagapriya  (India)
0 2 3 5 6 8 10 11	Messiaen 2 selon Brown	Messiaen 2 according to Brown
0 2 3 5 6 8 9 11	Messiaen 2e mode	Messiaen 2nd mode From Groves start B
0 1 3 5 6 7 9 11	Messiaen 3 selon Brown	Messiaen 3 according to Brown
0 1 2 5 6 7 8 11	Messiaen 5 selon Brown	Messiaen 5 according to Brown
0 1 2 6 7 8	Messiaen 5e mode	Messiaen 5th mode From Groves start E
0 1 3 5 6 7 9 11	Messiaen 6e mode	Messiaen 6th mode From Groves start B
0 2 4 5 6 8 10 11	Messiaen 7 selon Brown	Messiaen 7 according to Brown
0 2 5 6 8 11	Mode tronqué 2	Truncated mode 2
0 3 4 5 9 11	Messiaen mode 2	Messiaen Mode 2
0 1 3 4 6 7 9 10	Blues Auxiliaire Diminuée	Auxillary Diminished Blues
0 1 2 5 6 7 8 11	Messiaen mode 4,Mode 4	Messiaen Mode 4,Mode 4
0 1 2 3 6 7 8 9	Messiaen mode 4 bémol	Messiaen Mode 4 Flat
0 3 4 5 6 9 10 11	Messiaen mode 4 inverse	Messiaen Mode 4 Inverse
0 1 2 5 6 7 8 11	Messiaen mode 4	Messiaen Mode 4
0 1 5 6 7 11	Mode 5	Mode 5
0 1 2 6 7 8	Messiaen Mode 5	Messiaen Mode 5
0 4 5 6 10 11	Messiaen Mode 5 inverse	Messiaen Mode 5 Inverse
0 1 2 4 6 7 8 10	Messiaen Mode 6	Messiaen Mode 6
0 2 4 5 7 9 10 11	Messiaen Mode 6,Mode 6	Messiaen Mode 6,Mode 6
0 2 4 5 6 8 10 11	Messiaen Mode 6 inverse	Messiaen Mode 6 Inverse
0 1 3 6 7 9	Messiaen mode tronqué 2	Messiaen Truncated Mode 2
0 1 4 5 8 9	Messiaen mode tronqué 3	Messiaen Truncated Mode 3
0 3 5 7 9	mineur 6e Ajoutée,Pentatonique Mineur sixième Ajoutée	Minor 6th Added,Minor Added Sixth Pentatonic
0 2 3 4 5 7 9 10	Bebop mineur	Minor Bebop
0 2 3 4 7 9 10	Bebop mineur heptatonique	Minor Bebop Heptatonic
0 2 3 6 7 8 10 11	Gypsy mineur,Gypsy Mineur	Minor Gypsy,Minor Gypsy
0 2 3 5 7 10	mineur hexatonique,Nayaki,Yo (Japon),Eskimo hexatonique 1 (Amérique du Nord)	Minor Hexatonic,Nayaki,Yo (Japan),Eskimo Hexatonic 1 (North America)
0 2 3 5 6 8 10	Locrien mineur,Hindi 3 bémoles et bV	Minor Locrian,Hindi 3 flats and bV
0 2 3 5 7 9 11	mineur Mélodique,Jazz Mineur	Minor Melodic,Jazz Minor
0 2 3 5 7	Pentacorde mineur,Chad Gadyo (Israël)	Minor Pentachord,Chad Gadyo (Israel)
0 2 4 5 8 9 10	Mixolydien Augmentée	Mixolydian Augmented
0 2 4 5 6 9 10	Mixolydien b5	Mixolydian b5
0 2 5 7 9 10	Mixolydien hexatonique,Yosen (Japon),Raga Darbar,Narayani,Suposhini (Inde)	Mixolydian Hexatonic,Yosen (Japan),Raga Darbar,Narayani,Suposhini (India)
0 4 5 7 10	Mixolydien pentatonique	Mixolydian Pentatonic
0 2 4 5 7 9 10	Mixolydien,Khamaj G à F Ascend. nats,Ching (Chine),Mitum (sumérien),Grégorien 7	Mixolydian,Khamaj G to F ascend. nats,Ching (China),Mitum (Sumerian),Gregorian 7
0 1 3 5 7 9 11	Napolitaine Majeure,Mela Kokilapriya (Inde),Raga Kokilaravam (Inde)	Neapolitan Major,Mela Kokilapriya (India),Raga Kokilaravam (India)
0 1 3 5 7 8 11	Napolitaine mineure,Raga Dhunibinnashadjam (Inde),Maqam Shahnaz Kurdi (Arabie)	Neapolitan Minor,Raga Dhunibinnashadjam (India),Maqam Shahnaz Kurdi (Arabia)
0 1 2 4 6 8 9	Napolitaine Mode Mineur	Neapolitan Minor Mode
0 1 3 6 7 8 10 11	Neveseri (Grèce)	Neveseri (Greece)
0 2 5 6 8 9 11	Nohkan (Japon)	Nohkan (Japan)
0 1 4 5 6 9 10	Orientale 1,Tsinganikos (Grèce),Raga Ahira Lalita (Inde)	Oriental 1,Tsinganikos (Greece),Raga Ahira Lalita (India)
0 1 4 5 6 9 10 11	Orientale 2	Oriental 2
0 1 2 3 5 7 8 10	Aeolien Phrygien 2b 4b 6b	Phrygian Aeolian 2b 4b 6b
0 1 2 3 5 7 8 10	Aeolien phrygien 3b1 de #	Phrygian Aeolian 3b1#
0 1 4 5 7 8 10	Phrygien dominant,Dorico Flamenco,Avaha Raba,Folk espagnole,juive Majeure,Alhijaz (Arabie),Ahavh Rabbah (Israël),Hitzaz (Grèce),Gypsy espagnol	Phrygian Dominant,Dorico Flamenco,Avaha Raba,Spanish Folk,Jewish Major,Alhijaz (Arabia),Ahavh Rabbah (Israel),Hitzaz (Greece),Spanish Gypsy
0 3 5 7 8 10	Phrygien hexatonique	Phrygian Hexatonic
0 1 3 5 6 7 8 10	Locrien phrygien	Phrygian Locrian
0 1 3 4 5 7 8 10	Phrygien Majeur,Flamenco,phrygien Espagnol	Phrygian Major,Flamenco,Spanish Phrygian
0 1 3 5 7 8 10	Phrygien,Bhairavi E à D asc. nats.,Ishartum (sumérien),Grégorien 3	Phrygian,Bhairavi  E to D asc. nats.,Ishartum (Sumerian),Gregorian 3
0 1 3 5 6 8 10 11	Prokofiev	Prokofiev
0 2 4 6 9 10	Prométhée	Prometheus
0 2 4 6 9 10	Prometheus F # et Sib	Prometheus F# and Bb
0 1 4 6 9 10	Prometheus napolitaine	Prometheus Neapolitan
0 2 3 5 6 9	Pyramide hexatonique	Pyramid Hexatonic
0 2 3 5 9	Raga Abhogi	Raga Abhogi
0 2 3 6 7 11	Raga Amarasenapriya (Inde)	Raga Amarasenapriya (India)
0 2 3 5 8	Raga Audva Tukhari (Inde)	Raga Audva Tukhari (India)
0 2 3 5 9 10	Raga Bagesri,Sriranjani,Kapijingla (Inde)	Raga Bagesri,Sriranjani,Kapijingla (India)
0 1 4 7 8 11	Raga Bauli (Inde)	Raga Bauli (India)
0 3 4 5 7 10	Raga Bhanumanjari (Inde)	Raga Bhanumanjari (India)
0 1 4 5 6 7 9 11	Raga Bhatiyar (Inde)	Raga Bhatiyar (India)
0 1 3 6 8 10	Raga Bhavani (Inde)	Raga Bhavani (India)
0 2 5 7 8 11	Raga bhinna Pancama (Inde)	Raga Bhinna Pancama (India)
0 4 5 9 11	Raga bhinna Shadja,Hindolita (Inde)	Raga Bhinna Shadja,Hindolita (India)
0 2 4 7 8	Raga Bhupeshwari,Janasammodini (Inde)	Raga Bhupeshwari,Janasammodini (India)
0 2 4 6 7 11	Raga Caturangini (Inde)	Raga Caturangini (India)
0 1 2 6 7 9	Raga Chandrajyoti (Inde)	Raga Chandrajyoti (India)
0 3 5 9 10	Raga Chandrakauns Kafi,Surya (Inde)	Raga Chandrakauns Kafi,Surya (India)
0 3 5 8 11	Raga Chandrakauns Kiravani (Inde)	Raga Chandrakauns Kiravani (India)
0 3 5 9 11	Raga Chandrakauns moderne (Inde),Marga Hindola	Raga Chandrakauns Modern (India),Marga Hindola
0 1 3 6 8	Raga Chhaya Todi (Inde)	Raga Chhaya Todi (India)
0 1 3 5 8	Raga Chitthakarshini (Inde)	Raga Chitthakarshini (India)
0 2 3 6 7 8 9 10	Raga Cintamani (Inde)	Raga Cintamani (India)
0 2 5 7 11	Raga Desh	Raga Desh
0 1 7 8 11	Raga Deshgaur (Inde)	Raga Deshgaur (India)
0 5 7 8 11	Raga Devaranjani (Inde)	Raga Devaranjani (India)
0 1 4 6 7 8	Raga Dhavalangam (Inde)	Raga Dhavalangam (India)
0 4 6 7 9	Raga Dhavalashri (Inde)	Raga Dhavalashri (India)
0 2 4 5 6 7	Raga Dipak (Inde)	Raga Dipak (India)
0 1 3 5 7 10	Raga Gandharavam	Raga Gandharavam
0 1 4 5 7 11	Raga Gaula (Inde)	Raga Gaula (India)
0 1 5 7 11	Raga Gauri (Inde)	Raga Gauri (India)
0 2 3 5 8 11	Raga Ghantana (Inde)	Raga Ghantana (India)
0 1 3 6 8 11	Raga Gujari Todi (Inde)	Raga Gujari Todi (India)
0 2 4 5 9 11	Raga Hamsa Vinodini (Inde)	Raga Hamsa Vinodini (India)
0 2 4 7 11	Raga Hamsadhvani (Inde)	Raga Hamsadhvani (India)
0 1 4 6 9 11	Raga Hamsanandi,Puriya (Inde)	Raga Hamsanandi,Puriya (India)
0 3 6 8 10	Raga Harikauns (Inde) (bémoles)	Raga Harikauns (India) (Flats)
